product,category,description,pic,brand,iso2,iso3,country
Matcha Hydrating Cleanser,Water Cleanser,,,B.Lab,KR,KOR,South Korea
Clean It Zero Cleansing Balm Trial Kit,Oil Cleanser,,,Banila Co,KR,KOR,South Korea
Glow Serum,Serum,,,Beauty of Joseon,KR,KOR,South Korea
Relief Sun Rice + Probiotics,Sunscreen,,,Beauty of Joseon,KR,KOR,South Korea
Matte Sun Stick,Sunscreen,,,Beauty of Joseon,KR,KOR,South Korea
Hydarting Facial Cleanser,Water Cleanser,,,Cetaphil,US,USA,United States of America
Daily Facial Moisturizer with SPF,Moisturizer,,,Cetaphil,US,USA,United States of America
Daily Sunscreen,Sunscreen,,,Cocokind,US,USA,United States of America
Low pH First Cleansing Milk,Water Cleanser,,,COSRX,KR,KOR,South Korea
Low pH Good Morning Cleanser,Water Cleanser,,,COSRX,KR,KOR,South Korea
Full Fit Propolis Synergy Toner,Toner,,,COSRX,KR,KOR,South Korea
Hyaluronic Acid Power Essence,Essence,,,COSRX,KR,KOR,South Korea
Full Fit Propolis Light Ampoule,Ampoule,,,COSRX,KR,KOR,South Korea
Galactomyces 95 Tone Balancing Essence,Essence,,,COSRX,KR,KOR,South Korea
Green Tea Gel Cream,Moisturizer,,,COSRX,KR,KOR,South Korea
Honey Overnight Mask,Mask,,,COSRX,KR,KOR,South Korea
Moisturizing Lotion with Birch Sap,Moisturizer,,,COSRX,KR,KOR,South Korea
BHA Overnight Mask,Mask,,,COSRX,KR,KOR,South Korea
Good Night Sleep Mask,Mask,,,COSRX,KR,KOR,South Korea
Aloe Soothing Sun Cream,Sunscreen,,,COSRX,KR,KOR,South Korea
AC Collection Acne Patch,Treatment,,,COSRX,KR,KOR,South Korea
Kombucha Tea Essence,Essence,,,Dr. Ceuracle,KR,KOR,South Korea
Kombucha Gel Cream,Moisturizer,,,Dr. Ceuracle,KR,KOR,South Korea
Holy Hydration Face Cream (Fragrance Free),Moisturizer,,,e.l.f. Cosmetics,US,USA,United States of America
Happy Hydation Face Cream,Moisturizer,,,e.l.f. Cosmetics,US,USA,United States of America
Soon Jung 2x Barrier Intensive Cream,Moisturizer,,,Etude House,KR,KOR,South Korea
Ultra Repair Cream,Moisturizer,,,First Aid Beauty,US,USA,United States of America
Retinoid Cream,Treatment,,,Good Molecules,US,USA,United States of America
Vegan Rice Milk Moisturizing Cream,Moisturizer,,,Goodal,KR,KOR,South Korea
Wonder Black Rice Serum,Serum,,,Haruharu,KR,KOR,South Korea
Wonder Black Rice Hyaluronic Anti-Wrinkle Serum,Serum,,,Haruharu,KR,KOR,South Korea
Matcha Biome Intensive Repair Cream,Moisturizer,,,Heimish,KR,KOR,South Korea
Mugwort Essence,Essence,,,I'm From,KR,KOR,South Korea
Green Tea Seed Cream,Moisturizer,,,Innisfree,KR,KOR,South Korea
Hyaluronic Acid Airy Sun Stick,Sunscreen,,,Isntree,KR,KOR,South Korea
Black Snail Restore Serum,Essence,,,iUNIK,KR,KOR,South Korea
Ocean Deep Blue Oil,Other,,,Keep Cool,KR,KOR,South Korea
